idFuncionario,nome,funcSexo,funcCidade,funcEstadoSigla
1,ALINE ALMEIDA,F,SAO PAULO,SP
2,ARAO ALVES,M,CAMPINAS,SP
3,ARON ANDRADE,M,SANTOS,SP
4,ADA BARBOSA,F,SANTO ANDRE,SP
5,ABADE BATISTA,M,PIRACICABA,SP
6,ABADI BARROS,M,SAO CARLOS,SP
7,ABADIA BORGES,F,RIBEIRAO PRETO,SP
8,ABADIAS CAMPOS,M,ILHA BELA,SP
9,ABADIO CARDOSO,M,SAO JOSE DO RIO PRETO,SP
10,ADETE CARVALHO,M,OSASCO,SP
11,ABD CASTRO,M,ARARAQUARA,SP
12,ABDA COSTA,F,BARUERI,SP
13,ABDIEL DIAS,M,RIO DE JANEIRO,RJ
14,ABDALA DUARTE,M,VOLTA REDONDA,RJ
15,ABDALLA FREITAS,M,ANGRA DOS REIS,RJ
16,ABDALLA FERNANDES,M,PRAIA SECA,RJ
17,ABDAO FERREIRA,M,BELO HORIZONTE,MG
18,ABDER GARCIA,M,ARAGUARI,MG
19,ABDIEL GOMES,M,OURO PRETO,MG
20,ABDIEL LIMA,M,MONTE VERDE,MG
21,ABDENAGO ALMEIDA,M,CURITIBA,PR
22,ABDENEGO ALVES,M,LONDRINA,PR
23,ABDENICO ANDRADE,M,GUARATUBA,PR
24,ABDENIGO BARBOSA,M,MORRETES,PR
25,ABDENIO BATISTA,M,RECIFE,PE
26,ABDENOR BARROS,M,RECIFE,PE
27,ABDER BORGES,M,RECIFE,PE
28,ABDERMAN CAMPOS,M,SAO PAULO,SP
29,ABDI CARDOSO,M,CAMPINAS,SP
30,ABDIA CARVALHO,M,SANTOS,SP
31,ABDIAS CASTRO,M,SANTO ANDRE,SP
32,ABDIEL COSTA,M,PIRACICABA,SP
33,ABDISIO DIAS,M,SAO CARLOS,SP
34,ABDNEGO DUARTE,M,RIBEIRAO PRETO,SP
35,ABDO FREITAS,M,ILHA BELA,SP
36,ABDON FERNANDES,M,SAO JOSE DO RIO PRETO,SP
37,ABDON FERREIRA,M,OSASCO,SP
38,ABDORAL GARCIA,M,ARARAQUARA,SP
39,ABDU GOMES,M,BARUERI,SP
40,ABDIEL LIMA,M,RIO DE JANEIRO,RJ
41,ADER ALMEIDA,M,VOLTA REDONDA,RJ
42,ADECIO ALVES,M,ANGRA DOS REIS,RJ
43,ABEDENEGO ANDRADE,M,PRAIA SECA,RJ
44,ABEDIAS BARBOSA,M,BELO HORIZONTE,MG
45,ADEBAL BATISTA,M,ARAGUARI,MG
46,ABEDNEGO BARROS,M,OURO PRETO,MG
47,ABEDON BORGES,M,MONTE VERDE,MG
48,ABEGAIL CAMPOS,F,CURITIBA,PR
49,ADEJAIR CARDOSO,F,LONDRINA,PR
50,ABELARD CARVALHO,M,GUARATUBA,PR
51,ADEILDO CASTRO,M,MORRETES,PR
52,ADAILTON COSTA,M,RECIFE,PE
53,ABEL DIAS,M,RECIFE,PE
54,ADELAR DUARTE,F,RECIFE,PE
55,ADELAR FREITAS,M,SAO PAULO,SP
56,ABELARD FERNANDES,M,CAMPINAS,SP
57,ABELARDA FERREIRA,F,SANTOS,SP
58,ABELARDO GARCIA,M,SANTO ANDRE,SP
59,ADELIR GOMES,F,PIRACICABA,SP
60,ADELICE LIMA,F,SAO CARLOS,SP
61,ADELICIA ALMEIDA,F,RIBEIRAO PRETO,SP
62,ADELINA ALVES,F,ILHA BELA,SP
63,ADELINO ANDRADE,M,SAO JOSE DO RIO PRETO,SP
64,ABILIO BARBOSA,M,OSASCO,SP
65,ADELIRIO BATISTA,M,ARARAQUARA,SP
66,ADELITA BARROS,F,BARUERI,SP
67,ADELMA BORGES,M,RIO DE JANEIRO,RJ
68,ADILHO CAMPOS,M,VOLTA REDONDA,RJ
69,ADILHO CARDOSO,M,ANGRA DOS REIS,RJ
70,ADILSON CARVALHO,M,PRAIA SECA,RJ
71,ADEMIL CASTRO,M,BELO HORIZONTE,MG
72,ADEMOR COSTA,M,ARAGUARI,MG
73,ABENAIAS DIAS,M,OURO PRETO,MG
74,ADENAIDE DUARTE,F,MONTE VERDE,MG
75,ADENAIR FREITAS,F,CURITIBA,PR
76,ADENILDO FERNANDES,M,LONDRINA,PR
77,ABENER FERREIRA,M,GUARATUBA,PR
78,ADENIR GARCIA,M,MORRETES,PR
79,ADENIL GOMES,M,RECIFE,PE
80,ABENER LIMA,M,RECIFE,PE
81,ADENEVALDO ALMEIDA,M,RECIFE,PE
82,ADENIR ALVES,M,SAO PAULO,SP
83,ADENIAS ANDRADE,M,CAMPINAS,SP
84,ADENICIO BARBOSA,M,SANTOS,SP
85,ADENIL BATISTA,M,SANTO ANDRE,SP
86,ADENILDE BARROS,F,PIRACICABA,SP
87,ADENILDES BORGES,F,SAO CARLOS,SP
88,ADENILDO CAMPOS,M,RIBEIRAO PRETO,SP
89,ADENILSON CARDOSO,M,ILHA BELA,SP
90,ADENILTON CARVALHO,M,SAO JOSE DO RIO PRETO,SP
91,ADENILZA CASTRO,F,OSASCO,SP
92,ADENIR COSTA,M,ARARAQUARA,SP
93,ADENITA DIAS,F,BARUERI,SP
94,ADENIZA DUARTE,F,RIO DE JANEIRO,RJ
95,ADENISIA FREITAS,F,VOLTA REDONDA,RJ
96,ABENONE FERNANDES,M,ANGRA DOS REIS,RJ
97,ADENOR FERREIRA,M,PRAIA SECA,RJ
98,ADERALDO GARCIA,M,BELO HORIZONTE,MG
99,ADERCIO GOMES,M,ARAGUARI,MG
100,ABERLADO LIMA,M,OURO PRETO,MG
101,ADERLAN ALMEIDA,M,MONTE VERDE,MG
102,ADERLANDIA ALVES,F,CURITIBA,PR
103,ABERLARDO ANDRADE,M,LONDRINA,PR
104,ADERLINDO BARBOSA,M,GUARATUBA,PR
105,ADERSON BATISTA,M,MORRETES,PR
106,ADERVAL BARROS,M,RECIFE,PE
107,ADETINO BORGES,M,RECIFE,PE
108,ADEVALDO CAMPOS,M,RECIFE,PE
109,ABGAIL CARDOSO,F,SAO PAULO,SP
110,ADJAIR CARVALHO,F,CAMPINAS,SP
111,ABNER CASTRO,M,SANTOS,SP
112,ADIR COSTA,M,SANTO ANDRE,SP
113,ADAIR DIAS,F,PIRACICABA,SP
114,ABEL DUARTE,F,SAO CARLOS,SP
115,ADIANA FREITAS,F,RIBEIRAO PRETO,SP
116,ADIANE FERNANDES,F,ILHA BELA,SP
117,ABIAS FERREIRA,M,SAO JOSE DO RIO PRETO,SP
118,ABIATAR GARCIA,M,OSASCO,SP
119,ADIB GOMES,M,ARARAQUARA,SP
120,ABIDA LIMA,F,BARUERI,SP
121,ABIDAN ALMEIDA,M,RIO DE JANEIRO,RJ
122,ABIDAO ALVES,M,VOLTA REDONDA,RJ
123,ABIDENOR ANDRADE,M,ANGRA DOS REIS,RJ
124,ABIDERMAN BARBOSA,M,PRAIA SECA,RJ
125,ABIDIAS BATISTA,M,BELO HORIZONTE,MG
126,ABIDIEL BARROS,M,ARAGUARI,MG
127,ABIDON BORGES,M,OURO PRETO,MG
128,ABIDON CAMPOS,M,MONTE VERDE,MG
129,ABIDORAL CARDOSO,M,CURITIBA,PR
130,ABEL CARVALHO,M,LONDRINA,PR
131,ABIEZER CASTRO,M,GUARATUBA,PR
132,ABIGAIL COSTA,F,MORRETES,PR
133,ABIGAIR DIAS,F,RECIFE,PE
134,ABIGAIU DUARTE,F,RECIFE,PE
135,ABIGAIL FREITAS,F,RECIFE,PE
136,ADELAR FERNANDES,F,SAO PAULO,SP
137,ADELANE FERREIRA,F,CAMPINAS,SP
138,ADEILDE GARCIA,F,SANTOS,SP
139,ADLER GOMES,M,SANTO ANDRE,SP
140,ADILENE LIMA,F,PIRACICABA,SP
141,ADELIA ALMEIDA,F,SAO CARLOS,SP
142,ADELAINE ALVES,F,RIBEIRAO PRETO,SP
143,ADELINO ANDRADE,M,ILHA BELA,SP
144,ABILIO BARBOSA,M,SAO JOSE DO RIO PRETO,SP
145,ADILHO BATISTA,M,OSASCO,SP
146,ABIMAEL BARROS,M,ARARAQUARA,SP
147,ABIMAELE BORGES,F,BARUERI,SP
148,ADIMAR CAMPOS,M,RIO DE JANEIRO,RJ
149,ABIMELEQUE CARDOSO,M,VOLTA REDONDA,RJ
150,ADINA CARVALHO,F,ANGRA DOS REIS,RJ
151,ABINADA CASTRO,M,PRAIA SECA,RJ
152,ABINADAB COSTA,M,BELO HORIZONTE,MG
153,ABINADABE DIAS,M,ARAGUARI,MG
154,ABINADABI DUARTE,M,OURO PRETO,MG
155,ADINAEL FREITAS,M,MONTE VERDE,MG
156,ADINAIR FERNANDES,F,CURITIBA,PR
157,ADINALDO FERREIRA,M,LONDRINA,PR
158,ABINER GARCIA,M,GUARATUBA,PR
159,ADINAEL GOMES,M,MORRETES,PR
160,ABINER LIMA,M,RECIFE,PE
161,ABINOA ALMEIDA,F,RECIFE,PE
162,ABINOAN ALVES,F,RECIFE,PE
163,ABINOAN ANDRADE,M,SAO PAULO,SP
164,ADINAEL BARBOSA,M,CAMPINAS,SP
165,ADIO BATISTA,M,SANTOS,SP
166,ABIQUEILA BARROS,F,SANTO ANDRE,SP
167,ADIRAN BORGES,M,PIRACICABA,SP
168,ABISAEL CAMPOS,M,SAO CARLOS,SP
169,ABISAGUE CARDOSO,F,RIBEIRAO PRETO,SP
170,ABISAI CARVALHO,M,ILHA BELA,SP
171,ABISAI CASTRO,M,SAO JOSE DO RIO PRETO,SP
172,ABISALAO COSTA,M,OSASCO,SP
173,ABISMAEL DIAS,M,ARARAQUARA,SP
174,ADISON DUARTE,M,BARUERI,SP
175,ABISSALAO FREITAS,M,RIO DE JANEIRO,RJ
176,ABIUDE FERNANDES,M,VOLTA REDONDA,RJ
177,ABISAEL FERREIRA,M,ANGRA DOS REIS,RJ
178,ABISAI GARCIA,M,PRAIA SECA,RJ
179,ABKEILA GOMES,F,BELO HORIZONTE,MG
180,ADELAR LIMA,F,ARAGUARI,MG
181,ADILENE ALMEIDA,F,OURO PRETO,MG
182,ABMAEL ALVES,M,MONTE VERDE,MG
183,ADMAR ANDRADE,M,CURITIBA,PR
184,ADMARIO BARBOSA,M,LONDRINA,PR
185,ADNA BATISTA,F,GUARATUBA,PR
186,ABNADAB BARROS,M,MORRETES,PR
187,ABNADABE BORGES,M,RECIFE,PE
188,ADNAEL CAMPOS,M,RECIFE,PE
189,ABNER CARDOSO,M,RECIFE,PE
190,ADNAEL CARVALHO,M,SAO PAULO,SP
191,ABNER CASTRO,M,CAMPINAS,SP
192,ADNEI COSTA,M,SANTOS,SP
193,ADNALDO DIAS,M,SANTO ANDRE,SP
194,ABNER DUARTE,M,PIRACICABA,SP
195,ABNOAN FREITAS,F,SAO CARLOS,SP
196,ABNOAN FERNANDES,F,RIBEIRAO PRETO,SP
197,ADNAEL FERREIRA,M,ILHA BELA,SP
198,ADRA GARCIA,M,SAO JOSE DO RIO PRETO,SP
199,ABRAHAM GOMES,M,OSASCO,SP
200,ABRAAO LIMA,M,ARARAQUARA,SP
